step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
0,0,2026-01-04T22:13:16.840782,25,1.5035133333333335,1,1.0,0.999981,0.0,,,,,
0,1,2026-01-04T22:13:17.306178,29,0.4553045692883896,-18,0.5,0.999962,0.0,,,,,
0,2,2026-01-04T22:13:17.748275,25,0.4871065917602997,0,0.3333333333333333,0.999943,0.0,,,,,
0,3,2026-01-04T22:13:18.254215,29,0.5746495131086142,-2,0.25,0.999924,0.0,,,,,
2,4,2026-01-04T22:13:21.073893,28,1.6273662921348317,16,0.4,0.999905,0.5150022748857737,,,,,
2,4,2026-01-04T22:13:22.074191,,,,,,,-11.5,25,1,0.5,1
6,5,2026-01-04T22:13:27.773426,24,1.4772600749063671,9,0.5,0.999886,0.138523755595088,,,,,
10,6,2026-01-04T22:13:32.776532,30,0.5430000749063671,-10,0.42857142857142855,0.999867,0.04456823132932186,,,,,
14,7,2026-01-04T22:13:37.793066,25,1.4916266666666667,4,0.5,0.999848,0.022473680786788464,,,,,
18,8,2026-01-04T22:13:42.766466,25,1.4905354307116105,4,0.5555555555555556,0.999829,0.011029076878912747,,,,,
22,9,2026-01-04T22:13:47.868866,27,1.5529236704119849,4,0.6,0.99981,0.00744211592245847,,,,,
22,9,2026-01-04T22:13:49.131828,,,,,,,-7.5,30,1,0.5,1
